symbol,timeframe,scenario,entryAt,direction,bigbar,chopCut,alignCut,dedupCut,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR,exit141R,exitCanonR,touchDelayBars,tpDistRatio,fixed1R,fixed15R,fixed2R,fixed3R
BTC/USDT,15m,deep,1773149400000,long,false,true,false,true,entered,1.557393344566347,missed-tp,0,missed-tp,0,-1.1344893202755326,-1.1344893202755326,21,1.6178010471204523,0.9397158576553188,1.439615857655303,1.9395158576553189,-1.1344893202755326
BTC/USDT,15m,ote,1773612000000,long,false,true,false,true,entered,0.21833669670696929,missed-tp,0,missed-tp,0,0.7398608697349667,0.3093227682811538,1,0.27226463104324866,0.9459265185899293,1.4458265185899155,1.9457265185899293,2.9455265185899293
BTC/USDT,15m,ote,1774263600000,short,true,true,false,true,entered,-1.0535134895652807,missed-tp,0,missed-tp,0,-1.0535134895652807,-1.0535134895652807,140,0.2722646310432598,-1.0535134895652807,-1.0535134895652807,-1.0535134895652807,-1.0535134895652807
BTC/USDT,15m,deep,1774263600000,short,true,true,false,true,entered,-1.1103204261735873,missed-tp,0,missed-tp,0,-1.1103204261735873,-1.1103204261735873,140,1.6178010471204078,-1.1103204261735873,-1.1103204261735873,-1.1103204261735873,-1.1103204261735873
BTC/USDT,15m,ote,1774263600000,short,false,true,false,true,entered,0.2677598229309363,entered,0.5266143790333726,entered,0.45271140845070207,0.7894926473584167,0.38961715501086364,56,0.2722646310432563,-1.0109583373366895,-1.0109583373366895,-1.0109583373366895,-1.0109583373366895
BTC/USDT,15m,deep,1774263600000,short,true,true,false,true,entered,-1.0532940699778768,entered,-1.242670077972713,entered,-1.1487524614693994,-1.0532940699778768,-1.0532940699778768,56,1.6178010471204083,-1.0532940699778768,-1.0532940699778768,-1.0532940699778768,-1.0532940699778768
BTC/USDT,15m,ote,1774280700000,long,false,false,false,true,entered,0.2633372267866603,entered,0.41485421378280396,entered,0.24498062083424627,-1.0192641404933673,-1.0192641404933673,7,0.2722646310432545,-1.0192641404933673,-1.0192641404933673,-1.0192641404933673,-1.0192641404933673
BTC/USDT,15m,ote,1774809000000,short,false,true,false,true,entered,0.21695272611781002,missed-tp,0,missed-tp,0,0.738685550545285,1.3749450925300093,4,0.2722646310432401,0.9448336421483612,1.4449336421483612,1.9450336421483612,2.9452336421483616
BTC/USDT,15m,deep,1774815300000,short,false,true,false,true,entered,1.5037802165670289,entered,0.7716965938303602,entered,0.3033096431103648,2.5772933055722596,3.8864556092371725,11,1.6178010471204016,0.8858556092372032,1.3859556092372032,1.8860556092372032,2.8862556092372036
BTC/USDT,15m,ote,1775514600000,long,false,true,false,true,entered,0.26153303382802817,entered,0.23389587593468666,entered,0.4866254481110363,0.7830572068560169,1.4190622959145403,26,0.2722646310432556,0.9891228557109812,1.4890228557109841,1.9889228557109813,2.9887228557109813
