symbol,timeframe,scenario,entryAt,chopCut,alignCut,netRCanon,netRT100
BTC/USDT,15m,ote,1778611500000,true,false,0.33743356331306457,0.21728247887735683
BTC/USDT,15m,ote,1778670000000,true,false,-1.1349328697239005,-1.1349328697239005
BTC/USDT,15m,deep,1778674500000,true,false,-1.2768964282800699,-1.2768964282800699
BTC/USDT,15m,ote,1778768100000,true,false,-1.0978271449938315,-1.0978271449938315
BTC/USDT,15m,ote,1778768100000,true,false,1.389306473413766,0.23096677875727736
BTC/USDT,15m,ote,1778737500000,true,false,1.394055984743392,0.2357162900869026
BTC/USDT,15m,ote,1778986800000,true,false,-1.2589432166562038,-1.2589432166562038
BTC/USDT,15m,deep,1778992200000,true,false,-1.5335397075700878,-1.5335397075700878
BTC/USDT,15m,ote,1779133500000,true,false,0.28031648837198436,0.16455902508558728
BTC/USDT,15m,deep,1779149700000,true,false,1.1044621985873637,1.3954465804116793
BTC/USDT,15m,ote,1779358500000,true,false,-1.0783654903710593,0.20435807840968506
BTC/USDT,15m,ote,1779546600000,false,false,1.3982280505513622,0.23988835589487462
BTC/USDT,15m,ote,1779660000000,false,false,-1.2208339805745163,-1.2208339805745163
BTC/USDT,15m,deep,1779660000000,false,false,-1.4551264626480893,-1.4551264626480893
BTC/USDT,15m,ote,1779796800000,true,false,0.08378103029005106,-0.0167641732534988
BTC/USDT,15m,deep,1779802200000,true,false,3.4048459681224976,1.0238381147192803
BTC/USDT,15m,ote,1780074900000,false,false,1.4072113582934036,0.24887166363691324
BTC/USDT,15m,ote,1780263900000,true,false,0.1500523530719487,0.04431520788554838
BTC/USDT,15m,deep,1780268400000,true,false,0.8364318050119602,1.1480339094190277
BTC/USDT,15m,ote,1780523100000,true,false,1.3836695208973306,0.22532982624084535
BTC/USDT,15m,ote,1780644600000,true,false,0.3523473464627035,0.23104904793856135
BTC/USDT,15m,deep,1780869600000,true,false,1.2526722887949902,1.5322558944495057
BTC/USDT,15m,ote,1780809300000,true,false,-1.033265425880748,0.24448754117527968
BTC/USDT,15m,deep,1780869600000,true,false,-1.0691869757650996,1.5599068255596094
BTC/USDT,15m,ote,1780862400000,true,false,-1.1350317676031858,0.15725924827032944
BTC/USDT,15m,deep,1780869600000,true,false,-1.2785805480002743,-1.2785805480002743
BTC/USDT,15m,ote,1780894800000,true,false,0.3390152115486024,0.218836609446703
BTC/USDT,15m,ote,1781025300000,true,false,-1.036218576541177,0.2419562691806258
BTC/USDT,15m,ote,1781112600000,true,false,1.3543076533481742,0.19712571950593363
BTC/USDT,15m,deep,1781127900000,true,false,3.844944019716359,1.4639361663132358
BTC/USDT,15m,ote,1781469000000,true,false,-1.1310671291946859,-1.1310671291946859
BTC/USDT,15m,deep,1781471700000,true,false,-1.2704229412225716,-1.2704229412225716
BTC/USDT,15m,ote,1781766900000,true,false,0.2583894909278386,0.1443187197525304
BTC/USDT,15m,deep,1781768700000,true,false,3.737190350066681,1.3538002977106813
BTC/USDT,15m,ote,1782333000000,true,false,0.3643201067313576,0.24210082664808752
BTC/USDT,15m,ote,1782640800000,true,false,-1.1781182471822353,0.11885571542867059
BTC/USDT,15m,deep,1782651600000,true,false,-1.3657542991760179,-1.3657542991760179
BTC/USDT,15m,ote,1783326600000,true,false,-1.3108526930014535,0.005083333297929732
BTC/USDT,15m,deep,1783330200000,true,false,-1.6388675829820354,1.0687913611836573
BTC/USDT,15m,ote,1783307700000,true,false,-1.110773302297081,-1.110773302297081
BTC/USDT,15m,deep,1783329300000,true,false,-1.227185904726456,-1.227185904726456
BTC/USDT,15m,ote,1783351800000,false,false,-1.0783912123072514,0.20580829566685066
BTC/USDT,15m,deep,1783352700000,false,false,-1.1620374158992124,-1.1620374158992124
