ladder,symbol,timeframe,scenario,entryAt,direction,netR
t100-161-241,BTC/USDT,15m,ote,1770003900000,short,0.05757061630264416
t100-only,BTC/USDT,15m,ote,1770003900000,short,0.24249408902352554
canon,BTC/USDT,15m,deep,1770031800000,short,3.9391951674672425
t100-241,BTC/USDT,15m,deep,1770031800000,short,3.4022776282002303
t100-141-241,BTC/USDT,15m,deep,1770031800000,short,3.1447318166819036
t100-161-241,BTC/USDT,15m,deep,1770031800000,short,3.319339146524838
t100-only,BTC/USDT,15m,deep,1770031800000,short,1.5558051151112258
canon,BTC/USDT,15m,ote,1770087600000,long,-1.0350441693980246
t100-241,BTC/USDT,15m,ote,1770087600000,long,0.10287323492284356
t100-141-241,BTC/USDT,15m,ote,1770087600000,long,0.05666743348255421
t100-161-241,BTC/USDT,15m,ote,1770087600000,long,0.05666743348255421
t100-only,BTC/USDT,15m,ote,1770087600000,long,0.2414906392437116
canon,BTC/USDT,15m,ote,1770132600000,short,0.284646952290023
t100-241,BTC/USDT,15m,ote,1770132600000,short,0.023702295801471963
t100-141-241,BTC/USDT,15m,ote,1770132600000,short,-0.02458239772955366
t100-161-241,BTC/USDT,15m,ote,1770132600000,short,-0.02458239772955366
t100-only,BTC/USDT,15m,ote,1770132600000,short,0.1685563763945488
canon,BTC/USDT,15m,ote,1770149700000,short,1.406480934007025
t100-241,BTC/USDT,15m,ote,1770149700000,short,0.1099192306704588
t100-141-241,BTC/USDT,15m,ote,1770149700000,short,0.06384522777710004
t100-161-241,BTC/USDT,15m,ote,1770149700000,short,0.06384522777710004
t100-only,BTC/USDT,15m,ote,1770149700000,short,0.248141239350535
canon,BTC/USDT,15m,ote,1770229800000,short,1.4030268329261921
t100-241,BTC/USDT,15m,ote,1770229800000,short,1.1420821764376439
t100-141-241,BTC/USDT,15m,ote,1770229800000,short,1.0169136013740299
t100-161-241,BTC/USDT,15m,ote,1770229800000,short,1.1017736522646153
t100-only,BTC/USDT,15m,ote,1770229800000,short,0.24468713826970492
canon,BTC/USDT,15m,ote,1770301800000,short,0.334439868904255
t100-241,BTC/USDT,15m,ote,1770301800000,short,0.07349521241570411
t100-141-241,BTC/USDT,15m,ote,1770301800000,short,0.026487260336325903
t100-161-241,BTC/USDT,15m,ote,1770301800000,short,0.026487260336325903
t100-only,BTC/USDT,15m,ote,1770301800000,short,0.21451906865383874
canon,BTC/USDT,15m,ote,1770818400000,short,0.37476580001511534
t100-241,BTC/USDT,15m,ote,1770818400000,short,0.11382114352656596
t100-141-241,BTC/USDT,15m,ote,1770818400000,short,0.06784718968079984
t100-161-241,BTC/USDT,15m,ote,1770818400000,short,0.06784718968079984
t100-only,BTC/USDT,15m,ote,1770818400000,short,0.25174300506386427
canon,BTC/USDT,15m,ote,1770825600000,short,0.3491717396876372
t100-241,BTC/USDT,15m,ote,1770825600000,short,0.08822708319908834
t100-141-241,BTC/USDT,15m,ote,1770825600000,short,0.041596871396208115
t100-161-241,BTC/USDT,15m,ote,1770825600000,short,0.041596871396208115
t100-only,BTC/USDT,15m,ote,1770825600000,short,0.22811771860772895
canon,BTC/USDT,15m,deep,1770844500000,short,1.2461381868965467
t100-241,BTC/USDT,15m,deep,1770844500000,short,0.7092206476295341
t100-141-241,BTC/USDT,15m,deep,1770844500000,short,1.3395002631890347
t100-161-241,BTC/USDT,15m,deep,1770844500000,short,1.5141075930319667
t100-only,BTC/USDT,15m,deep,1770844500000,short,1.5262244157740106
canon,BTC/USDT,15m,ote,1770936300000,short,-1.0449798588079693
t100-241,BTC/USDT,15m,ote,1770936300000,short,-1.0449798588079693
t100-141-241,BTC/USDT,15m,ote,1770936300000,short,-1.0449798588079693
t100-161-241,BTC/USDT,15m,ote,1770936300000,short,-1.0449798588079693
t100-only,BTC/USDT,15m,ote,1770936300000,short,-1.0449798588079693
canon,BTC/USDT,15m,ote,1771144200000,long,-1.0890732718557545
t100-241,BTC/USDT,15m,ote,1771144200000,long,0.05270335406924205
t100-141-241,BTC/USDT,15m,ote,1771144200000,long,0.005211145427576534
t100-161-241,BTC/USDT,15m,ote,1771144200000,long,0.005211145427576534
t100-only,BTC/USDT,15m,ote,1771144200000,long,0.19517997999423864
canon,BTC/USDT,15m,deep,1771159500000,long,-1.1825361038707394
t100-241,BTC/USDT,15m,deep,1771159500000,long,-1.1825361038707394
t100-141-241,BTC/USDT,15m,deep,1771159500000,long,-1.1825361038707394
t100-161-241,BTC/USDT,15m,deep,1771159500000,long,-1.1825361038707394
t100-only,BTC/USDT,15m,deep,1771159500000,long,-1.1825361038707394
canon,BTC/USDT,15m,ote,1771244100000,short,1.3709177774680934
t100-241,BTC/USDT,15m,ote,1771244100000,short,0.07139247775328826
t100-141-241,BTC/USDT,15m,ote,1771244100000,short,0.024330609400515693
t100-161-241,BTC/USDT,15m,ote,1771244100000,short,0.024330609400515693
t100-only,BTC/USDT,15m,ote,1771244100000,short,0.21257808281160595
canon,BTC/USDT,15m,ote,1771244100000,short,0.3456063496347096
t100-241,BTC/USDT,15m,ote,1771244100000,short,0.08466169314615953
t100-141-241,BTC/USDT,15m,ote,1771244100000,short,0.037940061085510346
t100-161-241,BTC/USDT,15m,ote,1771244100000,short,0.037940061085510346
t100-only,BTC/USDT,15m,ote,1771244100000,short,0.22482658932810706
canon,BTC/USDT,15m,deep,1771246800000,short,3.9028426680939505
t100-241,BTC/USDT,15m,deep,1771246800000,short,3.3659251288269356
t100-141-241,BTC/USDT,15m,deep,1771246800000,short,3.1083793173086107
t100-161-241,BTC/USDT,15m,deep,1771246800000,short,3.282986647151545
t100-only,BTC/USDT,15m,deep,1771246800000,short,1.5194526157379307
canon,BTC/USDT,15m,ote,1771274700000,short,0.3427300985548154
t100-241,BTC/USDT,15m,ote,1771274700000,short,0.08178544206626501
t100-141-241,BTC/USDT,15m,ote,1771274700000,short,0.034990059977927104
t100-161-241,BTC/USDT,15m,ote,1771274700000,short,0.034990059977927104
t100-only,BTC/USDT,15m,ote,1771274700000,short,0.22217158833127865
canon,BTC/USDT,15m,ote,1771344000000,short,0.3405757219809197
t100-241,BTC/USDT,15m,ote,1771344000000,short,0.07963106549237213
t100-141-241,BTC/USDT,15m,ote,1771344000000,short,0.03278044297906223
t100-161-241,BTC/USDT,15m,ote,1771344000000,short,0.03278044297906223
t100-only,BTC/USDT,15m,ote,1771344000000,short,0.22018293303230188
canon,BTC/USDT,15m,ote,1771344000000,short,0.3699319982670818
t100-241,BTC/USDT,15m,ote,1771344000000,short,0.108987341778532
t100-141-241,BTC/USDT,15m,ote,1771344000000,short,0.06288944429820048
t100-161-241,BTC/USDT,15m,ote,1771344000000,short,0.06288944429820048
t100-only,BTC/USDT,15m,ote,1771344000000,short,0.24728103421952657
canon,BTC/USDT,15m,ote,1771599600000,short,0.3046743496069953
t100-241,BTC/USDT,15m,ote,1771599600000,short,0.04372969311844373
t100-141-241,BTC/USDT,15m,ote,1771599600000,short,-0.004041477404452723
t100-161-241,BTC/USDT,15m,ote,1771599600000,short,-0.004041477404452723
t100-only,BTC/USDT,15m,ote,1771599600000,short,0.18704320468713304
canon,BTC/USDT,15m,deep,1771599600000,short,1.1545807298196433
t100-241,BTC/USDT,15m,deep,1771599600000,short,0.6176631905526192
t100-141-241,BTC/USDT,15m,deep,1771599600000,short,0.34298097406658573
t100-161-241,BTC/USDT,15m,deep,1771599600000,short,0.34298097406658573
t100-only,BTC/USDT,15m,deep,1771599600000,short,1.4417098400107193
canon,BTC/USDT,15m,ote,1771839000000,short,0.36169530409935546
t100-241,BTC/USDT,15m,ote,1771839000000,short,0.10075064761080568
t100-141-241,BTC/USDT,15m,ote,1771839000000,short,0.3210228467031882
t100-161-241,BTC/USDT,15m,ote,1771839000000,short,0.4058828975937725
t100-only,BTC/USDT,15m,ote,1771839000000,short,0.2396779319108538
canon,BTC/USDT,15m,ote,1771839900000,short,0.37841459721394194
t100-241,BTC/USDT,15m,ote,1771839900000,short,0.11746994072539237
t100-141-241,BTC/USDT,15m,ote,1771839900000,short,0.33731343999432456
t100-161-241,BTC/USDT,15m,ote,1771839900000,short,0.07158954578215988
t100-only,BTC/USDT,15m,ote,1771839900000,short,0.25511112555508986
canon,BTC/USDT,15m,ote,1771871400000,short,0.3418620493790374
t100-241,BTC/USDT,15m,ote,1771871400000,short,0.08091739289048706
t100-141-241,BTC/USDT,15m,ote,1771871400000,short,0.3016981369756996
t100-161-241,BTC/USDT,15m,ote,1771871400000,short,0.3865581878662844
t100-only,BTC/USDT,15m,ote,1771871400000,short,0.2213703121690241
canon,BTC/USDT,15m,deep,1771981200000,short,-1.1246804286413796
t100-241,BTC/USDT,15m,deep,1771981200000,short,0.6941802900835603
t100-141-241,BTC/USDT,15m,deep,1771981200000,short,0.4214600505085803
t100-161-241,BTC/USDT,15m,deep,1771981200000,short,0.4214600505085803
t100-only,BTC/USDT,15m,deep,1771981200000,short,1.5123410088085003
canon,BTC/USDT,15m,ote,1772062200000,long,0.379884187304491
t100-241,BTC/USDT,15m,ote,1772062200000,long,0.1192003450653051
t100-141-241,BTC/USDT,15m,ote,1772062200000,long,0.07341318747482166
t100-161-241,BTC/USDT,15m,ote,1772062200000,long,0.07341318747482166
t100-only,BTC/USDT,15m,ote,1772062200000,long,0.25656181783675547
canon,BTC/USDT,15m,ote,1772304300000,short,-1.0229199281384753
t100-241,BTC/USDT,15m,ote,1772304300000,short,-1.0229199281384753
t100-141-241,BTC/USDT,15m,ote,1772304300000,short,-1.0229199281384753
t100-161-241,BTC/USDT,15m,ote,1772304300000,short,-1.0229199281384753
t100-only,BTC/USDT,15m,ote,1772304300000,short,-1.0229199281384753
canon,BTC/USDT,15m,ote,1772971200000,long,-1.1252658112660296
t100-241,BTC/USDT,15m,ote,1772971200000,long,0.019095996045407827
t100-141-241,BTC/USDT,15m,ote,1772971200000,long,-0.029257939725071368
t100-161-241,BTC/USDT,15m,ote,1772971200000,long,-0.029257939725071368
t100-only,BTC/USDT,15m,ote,1772971200000,long,0.16415780335684532
canon,BTC/USDT,15m,deep,1772972100000,long,-1.2570055697777438
t100-241,BTC/USDT,15m,deep,1772972100000,long,0.5691980442190723
t100-141-241,BTC/USDT,15m,deep,1772972100000,long,0.2935635062201336
t100-161-241,BTC/USDT,15m,deep,1772972100000,long,0.2935635062201336
t100-only,BTC/USDT,15m,deep,1772972100000,long,1.3961016582158885
canon,BTC/USDT,15m,ote,1773034200000,short,-1.0162615268144195
t100-241,BTC/USDT,15m,ote,1773034200000,short,-1.0162615268144195
t100-141-241,BTC/USDT,15m,ote,1773034200000,short,-1.0162615268144195
t100-161-241,BTC/USDT,15m,ote,1773034200000,short,-1.0162615268144195
t100-only,BTC/USDT,15m,ote,1773034200000,short,-1.0162615268144195
canon,BTC/USDT,15m,deep,1773026100000,short,-1.1307343522591522
t100-241,BTC/USDT,15m,deep,1773026100000,short,-1.1307343522591522
t100-141-241,BTC/USDT,15m,deep,1773026100000,short,-1.1307343522591522
t100-161-241,BTC/USDT,15m,deep,1773026100000,short,-1.1307343522591522
t100-only,BTC/USDT,15m,deep,1773026100000,short,-1.1307343522591522
canon,BTC/USDT,15m,ote,1773229500000,long,1.3447459088899412
t100-241,BTC/USDT,15m,ote,1773229500000,long,0.044452682043849896
t100-141-241,BTC/USDT,15m,ote,1773229500000,long,-0.003251082290771458
t100-161-241,BTC/USDT,15m,ote,1773229500000,long,-0.003251082290771458
t100-only,BTC/USDT,15m,ote,1773229500000,long,0.18756397504771394
canon,BTC/USDT,15m,ote,1773145800000,long,-1.1022237892046287
t100-241,BTC/USDT,15m,ote,1773145800000,long,0.040492159388144794
t100-141-241,BTC/USDT,15m,ote,1773145800000,long,-0.0073131568094463514
t100-161-241,BTC/USDT,15m,ote,1773145800000,long,-0.0073131568094463514
t100-only,BTC/USDT,15m,ote,1773145800000,long,0.18390810798091825
canon,BTC/USDT,15m,deep,1773149400000,long,-1.209594498206384
t100-241,BTC/USDT,15m,deep,1773149400000,long,0.6132226106782324
t100-141-241,BTC/USDT,15m,deep,1773149400000,long,0.33871690771669366
t100-161-241,BTC/USDT,15m,deep,1773149400000,long,0.33871690771669366
t100-only,BTC/USDT,15m,deep,1773149400000,long,1.4367397195628486
canon,BTC/USDT,15m,ote,1773612000000,long,0.2216592770203232
t100-241,BTC/USDT,15m,ote,1773612000000,long,-0.039024565218866304
t100-141-241,BTC/USDT,15m,ote,1773612000000,long,0.18460886951272037
t100-161-241,BTC/USDT,15m,ote,1773612000000,long,-0.0888687717909934
t100-only,BTC/USDT,15m,ote,1773612000000,long,0.1105080544975149
canon,BTC/USDT,15m,ote,1774263600000,short,-1.0828543171015477
t100-241,BTC/USDT,15m,ote,1774263600000,short,-1.0828543171015477
t100-141-241,BTC/USDT,15m,ote,1774263600000,short,-1.0828543171015477
t100-161-241,BTC/USDT,15m,ote,1774263600000,short,-1.0828543171015477
t100-only,BTC/USDT,15m,ote,1774263600000,short,-1.0828543171015477
canon,BTC/USDT,15m,deep,1774263600000,short,-1.1712206629366915
